name,location,capacity,capacity_per_family,floor_area_sqm,type_of_structures,type,features,source of water,proximity,lat,lng,contact_person_and_number
Kingsville Evacuation Center( City Manage),Kingsville Subd.BARANGAY MAYAMOT,383,77,510,,,1 common-2 male-2 female comfort rooms,potable,,,,
Mayamot Elementary School Covered Court,147 Sumulong Hi-way BARANGAY MAYAMOT,"13,143","2,629","17,524",,,4 male-4 female comfort rooms,potable,,,,
BARANGAY MAYAMOT Daycare Center,Sumulong Hi-way BARANGAY MAYAMOT,38,8,50,,,1 male-1 female comfort rooms,non-potable,,,,
Mambugan Elementary School and Covered Court,Agnes Ville BARANGAY MAMBUGAN,225,45,300,,,1 male-1 female comfort rooms,potable,,,,
Josefina Elementary School and Covered Court,Josefina Subdivision BARANGAY MAMBUGAN,300,60,400,,,1 male-1 female comfort rooms,potable,,,,
Siruna National High School and Covered Court,Siruna BARANGAY MAMBUGAN,"2,700",540,"3,600",,,1 male-1 female comfort rooms,potable,,,,
Mambugan Barangay Hall,Sumulong Hi-way BARANGAY MAMBUGAN,270,54,360,,,2 male-2 female comfort rooms,potable,,,,
La Colina Covered Court,La Colina Subdivision BARANGAY MAMBUGAN,495,99,660,,,2 male-1 female comfort room,non-potable,,,,
Barangay Covered Court Ynares Multipurpose,Upper Sto.Nino BARANGAY STA.CRUZ,450,90,600,,,1 common comfort rooms,non-potable,,,,
Sta.Cruz Elementary School,Olalia Road BARANGAY STA.CRUZ,"16,335","3,268","21,786.50",,,3 male-3 female comfort rooms,potable,,,,
Lower Sto.Nino Covered Court,Lower Sto.Nino BARANGAY STA.CRUZ,675,135,900,,,1 common comfort room,non-potable,,,,
Barangay Hall Gym Covered Court,Rd.A Ph.4 Cogeo Village BARANGAY BAGONG NAYON,315,63,420,,,1 male-1 female comfort rooms,potable,,,,
Barangay Hall Health Center,Rd.A Ph.4 Cogeo Village BARANGAY BAGONG NAYON,46,43,288,,,1 male-1 female comfort rooms,potable,,,,
Barangay Hall School Day Care Center,Rd.A Ph.4 Cogeo Village BARANGAY BAGONG NAYON,150,30,200,,,,non-potable,,,,
Barangay Hall Operations Center,Rd.A Ph.4 Cogeo Village BARANGAY BAGONG NAYON,45,9,60,,,1 common comfort room,potable,,,,
Cogeo 1 Daycare center,Rd.A Ph.4 Cogeo Village BARANGAY BAGONG NAYON,60,12,80,,,1 common comfort room,non-potable,,,,
Cogeo 2 Daycare center,Rd.A Ph.4 Cogeo Village BARANGAY BAGONG NAYON,60,12,80,,,1 common comfort room,non-potable,,,,
ALS Center,Rd.A Ph.4 Cogeo Village BARANGAY BAGONG NAYON,82,16,110,,,1 common comfort room,potable,,,,
Livelihood Center,Rd.A Ph.4 Cogeo Village BARANGAY BAGONG NAYON,150,30,200,,,1 common comfort room,non-potable,,,,
Conference Covered Court,Cluster 1,375,75,500,,,1 common comfort room,non-potable,,,,
