Name,Location,Capacity,Capacity in family,Floor area,Type,Features,Proximity,Source of water,Remarks,Lat,Lng,Contact person and number
"BANGAD ELEMENTARY SCHOOL","PUROK 1 MALVAR STREET,BANGAD",25,67,784,"School","19 common comfort rooms,Permanent structure with sufficient WASH facilities","","","undefined",14.370583,121.2235,"Pepito V. Cequena,Head Teacher III,09288662440"
"BANGAD COVERED COURT","ALONG NATIONAL ROAD,BANGAD",380,70,56,"Gym / Covered Court","1 male,1 female comfort rooms,Permanent structure with sufficient WASH facilities","","","undefined",14.37075,121.222083,"Hon.Efren F. Francisco,Barangay Captain,09817353468"
"JP RIZAL STREET","BESIDE BRGY HALL/RIZAL SCIENCE,BATINGAN",380,70,493,"Gym / Covered Court","2 male,1 female comfort rooms,Permanent structure with insufficient WASH facilities","","","undefined",14.472139,121.196417,"Hon.Guillermo T. Anore,Barangay Captain,09273436638"
"YNARES MULTI-PURPOSE BUILDING (ANNEX)","SITIO STO.NI�O, BILIBIRAN",25,5,1736,"Multi-Purpose Hall","3 male,1 female comfort rooms,Permanent structure with sufficient WASH facilities","","","undefined",14.497389,121.175194,"Hon.Leonard T. Mateo,Barangay Captain,09506124457"
"BILIBIRAN ELEMENTARY SCHOOL","BILIBIRAN",40,6,56,"School","3 male,3 female comfort rooms,Permanent structure with sufficient WASH facilities","","","undefined",14.499556,121.173556,"Chester Carl SJ. Campo,Principal I"
"ST. DOMINIQUE STREET, BRGY. BINITAGAN","BINITAGAN",50,10,560,"Daycare","Permanent structure without  WASH facilities","","","undefined",14.312333,121.2265,"Hon. Alfredo G. Cerda,Barangay Captain,09166541485"
"BOMBONG ELEMENTARY SCHOOL","BOMBONG",60,12,56,"School","1 common comfort room,Permanent structure with sufficient WASH facilities","","","undefined",14.393056,121.223056,"Dolores R. Dela Cruz,Principal I,09069019295"
"BUHANGIN ELEMENTARY SCHOOL","PUROK 3,BUHANGIN",54,11,0,"School","6 male,6 female comfort rooms,Permanent structure with sufficient WASH facilities","","","undefined",14.3625,121.221944,"Aileen A. Tabigne,Master Teacher I, 09171792310"
"CALUMANG ELEMENTARY SCHOOL","KATIPUNAN STREET,CALUMPANG",35,7,224,"School","7 male,7 female comfort rooms,Permanent structure with sufficient WASH facilities","","","undefined",14.477694,121.188861,"Merlinda M. Damasco, Principal II,09653646847"
"DARANGAN ELEMENTARY SCHOOL","CENTRO STREET, DARANGAN",40,6,672,"School","5 common comfort rooms,Permanent structure with sufficient WASH facilities","","","undefined",14.491,121.185194,"Lailani G. Ce�idoza,Principal I, 09491925199"
"LIVING HOPE BLDG","ALONG NATIONAL RD. BESIDE CAF� AURORA,DARANGAN",265,53,493,"Others","6 male,6 female comfort rooms,Permanent structure with sufficient WASH facilities","","","undefined",14.485778,121.186833,"Hon. Longino L. Del Mundo Jr.,Barangay Captain,0945-853-2445"
"GINOONG-SANAY PARISH CHURCH","GINOONG-SANAY",50,11,56,"Church / Chapel","2 male,2 female comfort rooms,Permanent structure without  WASH facilities","","","undefined",14.319833,121.224611,"Hon. Roderick C. Lerona,Barangay Captain,09357600398"
"SAN FRANCISCO STREET, BRGY. GULOD","GULOD",25,5,56,"Daycare","Permanent structure with sufficient WASH facilities","","","undefined",14.348028,121.215611,"Hon. Reynante M. Arambulo,Barangay Captain,09979555924"
"SAN FRANCISCO STREET","BRGY. GULOD",380,70,784,"Gym / Covered Court","1 male,1 female comfort rooms,Permanent structure with sufficient WASH facilities","","","undefined",14.348028,121.215611,"Hon. Reynante M. Arambulo,Barangay Captain,09979555925"
"BRGY. HABAGATAN MULTI-PURPOSE HALL","HABAGATAN",50,10,493,"Multi-Purpose Hall","5 common comfort rooms,Permanent structure with sufficient WASH facilities","","","undefined",14.293917,121.239361,"Hon. Marzen Binaluyo,Barangay Captain,09638934874"
"PUROK 3, SAPANG BULI STREET","BRGY. ITHAN",40,6,493,"Daycare","2 common comfort rooms,Permanent structure with sufficient WASH facilities","","","undefined",14.432528,121.213139,"Hon. Roberto L. Bobotioc,Barangay Captain,09150315292"
"ITHAN ELEMENTARY SCHOOL","ITHAN",60,12,448,"School","3 male,3 female comfort rooms,Permanent structure with sufficient WASH facilities","","","undefined",14.431694,121.214111,"Catherine C. Discutido,Principal l, 09955152599"
"PAARALANG ELEMENTARYA NG JANOSA","JANOSA",60,12,450,"School","10 male,10 female comfort rooms,Permanent structure with sufficient WASH facilities","","","undefined",14.352639,121.218694,"Rene N. Concepcion,Principal I,096884617720"
"MALIGAYA STREET, BRGY. KALINAWAN HALL","KALINAWAN",50,7,500,"Brgy. Hall","1 male,1 female comfort rooms,Permanent structure with sufficient WASH facilities","","","undefined",14.426833,121.208417,"Hon. Normelito B. Cerda,Barangay Captain,09363599129"
"KALINAWAN ELEMENTARY SCHOOL","KALINAWAN",60,12,56,"School","2 male,2 female comfort rooms,Permanent structure with sufficient WASH facilities","","","undefined",14.426639,121.211028,"Eloisa May B. Lanuza,Principal I,09218115890"
"KASILE BARRIO SCHOOL","BRGY. KASILE",24,6,493,"School","2 male,2 female comfort rooms,Permanent structure without WASH facilities","","","undefined",14.399917,121.222056,"Annaliza Q. Mendoza,Head Teacher II,09772754367"
"KAYTOME-GULOD ELEMENTARY SCHOOL","ML QUEZON, BRGY. KAYTOME",24,6,896,"School","11 male,11 female comfort rooms,Permanent structure with sufficient WASH facilities","","","undefined",14.348861,121.217528,"Apollo Reyes,Principal I,09088828817"
"KINABOOGAN BARRIO SCHOOL, PUROK 2","KINABOOGAN",60,15,448,"School","1 male,2 female comfort rooms,Permanent structure without WASH facilities","","","undefined",14.376806,121.222,"Arlene A. Justo,Head Teacher III,09666612718"
"KINAGATAN ELEMENTARY SCHOOL","BRGY. KINAGATAN",60,12,60,"School","5 male,5 female comfort rooms,Permanent structure with sufficient WASH facilities","","","undefined",14.385472,121.223222,"Roxanne SA. Paculdar,Head Teacher I,09175495672"
"JP RIZAL STREET LAYUNAN","BRGY. LAYUNAN",25,5,60,"Brgy. Hall","1 male,1 female comfort rooms,Permanent structure with sufficient WASH facilities","","","undefined",14.468472,121.193139,"Hon. Arnel V. Chulvo,Barangay Captain,09669142683"
"LIBID ELEMENTARY SCHOOL","A. BONIFACIO STREET,LIBID",60,12,120,"School","10 male,10 female comfort rooms,Permanent structure with sufficient WASH facilities","","","undefined",14.462083,121.195389,"Marites A. Discutido,Head Teacher II,09773708650"
"LIBIS ELEMENTARY SCHOOL","TAAL STREET SITIO WAWA,LIBIS",108,21,224,"School","1 male,2 female comfort rooms,Permanent structure with sufficient WASH facilities","","","undefined",14.465167,121.188944,"Mark Airon C. Bolante,Principal I,09999372294"
"LIMBON-LIMBON PARISH CHURCH","PROVINCIAL ROAD,LIMBON-LIMBON",30,6,493,"Church / Chapel",",Permanent structure without WASH facilities","","","undefined",14.439667,121.207556,"Hon. Narciso A. Policarpio,Barangay Captain,09611769976"
"LIMBON-LIMBON ELEMENTARY SCHOOL","ALONG NATIONAL ROAD,LIMBON-LIMBON",45,9,1680,"School","1 male,1 female comfort rooms,Permanent structure without WASH facilities","","","undefined",14.441361,121.205694,"Ariel DL. Ferido,Head Teacher III,09687963108"
"SITIO MALINIS CHAPEL","UPPER GUPIING LUNSAD",50,10,125,"Church / Chapel","Permanent structure without WASH facilities","","","undefined",14.448999,121.204167,"Hon. Tiburcio U. Mesa,Barangay Captain,09761785814 / 09366982088"
"MG CEQUE�A STREET","BRGY. MACAMOT",380,70,493,"Gym / Covered Court","Permanent structure without WASH facilities","","","undefined",14.483361,121.195861,"Hon. Edward F. Basa,Barangay Captain,09277353492"
"MACAMOT ELEMENTARY SCHOOL","F. CEQUE�A STREET,MACAMOT",54,11,493,"School","4 male,4 female comfort rooms,Permanent structure with sufficient WASH facilities","","","undefined",14.486361,121.197194,"Kristine T. Ramos,Principal I,09567007746"
