name,location,capacity,capacity_in_family,floor_area,type,features,proximity,source_of_water,remarks,lat,lng,contact_person_and_number
San Francisco Elementary School,"San Francisco Floodway, Brgy. San Juan",,140,3.48km,," Water Supply,Comfort Rooms,Solid Waste Mgt.",3.48km,,,"14.565000, 121.110000",121.11,Elepanor V.Igtibin- Child Development Worker-09690392114
San Francisco Chapel,"San Francisco Floodway, Brgy. San Juan",,10,3.13km,," Water Supply,Comfort Rooms,Solid Waste Mgt.",3.13km,,,"14.564167, 121.111667",121.111667,Eleanor V. Igtibin- Child Development Worker-09690392114
AnakPawis I Covered Court,"AnakPawis I, Brgy. San Juan",,90,3.36km,," Water Supply,Comfort Rooms,Solid Waste Mgt.",3.36km,,,"14.560833, 121.113056",121.113056,Nelida B. Bonayon- Child Development Worker-09103053088
Exodus Elementary School,"Exodus Floodway, Brgy. San Juan",,320,4.37km,," Water Supply,Comfort Rooms,Solid Waste Mgt.",4.37km,,,"14.555000, 121.116944",121.116944,Soledad O. Real- Child Development Worker-09283344733
Exodus Day Care Center,"Exodus Floodway, Brgy. San Juan",,10,4.46km,," Water Supply,Comfort Rooms,Solid Waste Mgt.",4.46km,,,"14.555000, 121.117500",121.1175,Soledad O. Real- Child Development Worker-09283344733
San Juan National High School,"AnakPawis I, Brgy. San Juan",,100,3.27km,," Water Supply,Comfort Rooms,Solid Waste Mgt.",3.27km,,,"14.563333, 121.112222",121.112222,Nelida B. Bonayon- Child Development Worker-09103053088
L. Santos Day Care Center & Multipurpose Hall,"L. Santos St., Brgy. San Juan",,10,1.57km,," Water Supply,Comfort Rooms,Solid Waste Mgt.",1.57km,,,"14.578056, 121.124722",121.124722,Cherizza Gaye A. Ramos- Child Development Worker-09752450434
Arinda Elementary School,"SitioArinda, Brgy. San Juan",,130,6.90km,," Water Supply,Comfort Rooms,Solid Waste Mgt.",6.90km,,,"14.534722, 121.110833",121.110833,Adelaida P. Ayap � Child Development Worker-09214006271
Barangay Hall,Brgy. San Juan,,44,1.27km,," Water Supply,Comfort Rooms,Solid Waste Mgt.",1.27km,,,"14.576111, 121.122778",121.122778,On Duty-6551679/6558158
Kabisig Elementary School,"Kabisig Floodway, Brgy. San Andres",,130,4.1km,," Water Supply,Comfort Rooms,Solid Waste Mgt.",4.1km,,,"14.569722, 121.106389",121.106389,Rowena G. Sicson-09305065375
PFCI Covered Court,"PFCI Floodway, Brgy. San Andres",,90,4.7km,," Water Supply,Comfort Rooms,Solid Waste Mgt.",4.7km,,,"14.573889, 121.103889",121.103889,Cristina Bernados � MSWD Staff-09610787997
LakasBisig 1 Day Care Center,"LakasBisig Floodway, Brgy. San Andres",,9,6.1km,," Water Supply,Comfort Rooms,Solid Waste Mgt.",6.1km,,,"14.569167, 121.103333",121.103333,Fatima Ortillo-Child Development Worker-09198363655
LakasBisig 2 Day Care Center,"LakasBisig Floodway, Brgy. San Andres",,9,7.1km,," Water Supply,Comfort Rooms,Solid Waste Mgt.",7.1km,,,"14.562222, 121.107778",121.107778,Jesusa A. Napuran- Child Development Worker-09336165085
LakasBisig Elementary School,"LakasBisig Floodway, Brgy. San Andres",,150,6.4km,," Water Supply,Comfort Rooms,Solid Waste Mgt.",6.4km,,,"14.568889, 121.103333",121.103333,Jesusa A. Napuran- Child Development Worker-09336165085
LakasBisig Covered Court,"LakasBisig Floodway, Brgy. San Andres",,80,7.1km,," Water Supply,Comfort Rooms,Solid Waste Mgt.",7.1km,,,"14.564722, 121.106389",121.106389,Fatima Ortillo-Child Development Worker-09198363655
AnakPawis II Covered Court,"BuklodMaralita Floodway, Brgy. San Andres",,80,7.1km,," Water Supply,Comfort Rooms,Solid Waste Mgt.",7.1km,,,"14.564722, 121.106389",121.106389,Anabelle O. Acol-MSWD Staff-09356973842/09103572549
Planters Elementary School,"Planters Floodway, Brgy. San Andres",,80,7.6km,," Water Supply,Comfort Rooms,Solid Waste Mgt.",7.6km,,,"14.556667, 121.111389",121.111389,Kimberly B. Correa- Child Development Worker-09512841049
Planters Covered Court,"Planters Floodway, Brgy. San Andres",,80,6.8km,," Water Supply,Comfort Rooms,Solid Waste Mgt.",6.8km,,,"14.557778, 121.110833",121.110833,Kimberly B. Correa- Child Development Worker-09512841049
