Name,Location,Capacity,Capacity in family,Floor area,Type,Features,Proximity,Source of water,Remarks,Lat,Lng,Contact person and number
Patunhay/Calahan Elem. School Patunhay/Calahan Elem.Schl.Gym,Barangay Calahan,0,350,7x8m-17x30m,,6 bathrooms 1wash area 1 deep well,".5km to PNP,.5km to Municipal Building,150 meters to Hospital",,,14.490417,121.234194,
Calahan Day Care Center Calahan,Barangay Calahan,0,50,66,,1 bathroom Each,".5 km to PNP,.5km to Municipal Building,200 meters to Hospital",,,14.490417,121.234194,Bernabe J. San Jose-0975-064-1916
Patunhay Day Care Center,Barangay Patunhay,0,50,66,,1 bathroom Each,"250 meters to PNP 300 meters to Municipal Building,.5km to Hospital",,,14.487667,121.231944,Hector A. Reyes-0926-288-1464
Del Remedio Day Care Center/Del Remedio Barangay Hall,Barangay Del Remedio,0,50,66,,1 bathroom Each,750 meters to PNP 500 meters to Municipal Building 1 km to Hospital,,,14.488222,121.228944,Sammy Campo-0935-701-3759
Iglesia Day Care Center Iglesia Barangay Hall,Barangay Iglesia,0,50,66,,1 bathroom Each,".5 km to PNP .5 km to Municipal Building, 1.5km to Hospital",,,14.489,121.224056,Cris John E. Santiago-0917-135-4123
Real Day Care Center Real Barangay Hall,Barangay Real,0,50,66,,1 bathroom Each,"5 meters to PNP 10 meters to Municipal Building,1.5km to Hospital",,,14.486417,121.230444,Jefferson P. Flores-0917-568-5248
San Roque Day Care Center/San Roque Barangay Hall,Barangay San Roque,0,300,78,,1 bathroom Each,100 meters to PNP 200 meters to Municipal Building 1.5km to Hospital,,,14.470194,121.224611,Jose Dionisio Jr-0926-985-3554
Mariano C. San Juan Elem. School,Barangay San Roque,0,100,66,,"1 C.R each classroom,1 wash area","1km to PNP 1 km to Municipal Building,1.5km to Hospital",,,14.470194,121.224611,
Dalig Day Care Center Dalig Barangay Hall,Barangay Dalig,0,50,66,,1 bathroom each,500 meters to PNP 750 meters to Municipal Building 1.5km to Hospital,,,14.4835,121.231278,Nilo B. Subida-0908-347-8813
Dalig Elem. School,Barangay Dalig,0,300,78,,1 C.R. each Classroom,"750 meters to PNP,.5km to Municipal Building,1.5km to Hospital",,,14.4835,121.231278,
Looc Day Care Center Looc Barangay Hall,Barangay Looc,0,50,66,,1 bathroom each,"2km  to  PNP,2km to Municipal Building,500 meters to Hospital",,,0,0,Diomedes V. Blanco-0927-860-4992
Looc Elem. School,Barangay Looc,0,300,78,,1 C.R each Classroom 1 wash area,"2km to PNP 2km to Municipal Building,500 meters to Hospital",,,14.480583,121.172833,
Tadlak Elem. School,Barangay Looc,0,300,78,,1 C.R Each Classroom 1 wash area,"2.5km to PNP 2.5km to Municipal Building,.5km meters to Hospital",,,14.480583,121.172833,
Sampad Day Care Center/Sampad Brgy. Hall,Barangay Sampad,0,50,66,,1 C.R Each,"by boat 4.5km to PNP 4.5km to Municipal Building 3.5km to Hospital by land 8km to PNP 8 km to Municipal Building,7km to Hospital",,,14.442333,121.219861,Romulo F. Sison Jr.-0998-557-6283
Sampad Elem. School,Barangay Sampad,0,300,78,,"1 C.R Each,Classroom,1 wash area,1 artesian well","By boat 4.5km to PNP,4.5km to Municipal Building 3.5km to Hospital, By land 8km to PNP 8km to Municipal Building,7km to Hospital",,,14.442333,121.219861,
Nagsulo Day Care Center Nagsulo Brgy. Hall,Barangay Nagsulo,0,50,66,,"1 C.R Each,1 artesian well",By boat 5.5km   to PNP 5.5km   to Municipal Building 4.5km to Hospital By land 9km to PNP 9km to Municipal Building 7.5km to Hospital,,,14.436333,121.219222,Lauro C. Discutido-0926-599-5596
Ticulio Brgy. Hall,Barangay Ticulio,0,25,66,,1 C.R Each,By  boat  6km to  PNP  6km to Municipal Building 5km to Hospital,,,14.421806,121.219333,Catalina P. Flores-0905-626-6512
Ticulio Elem. School,Barangay Ticulio,0,300,78,,"1 C.R Each Classroom,1 wash area,1 artesian well",By  boat  6km to  PNP  6km to Municipal Building 5km to Hospital,,,14.421806,121.219333,Bernardo V. Panguito-0956-710-4895
Navotas Day Care Center Navotas Barangay Hall,Barangay Navotas-ISLAND BARANGAY,0,50,66,,1 bathroom Each,"6.5km to PNP 6.5km to Municipal Building,5.5km to Hospital",,,14.419,121.222778,
Navotas Elem. School,Barangay Navotas-ISLAND BARANGAY,0,300,78,,"1 bathroom Each,1 wash area","6.5km to PNP 6.5 km to Municipal Building,5.5km to Hospital",,,14.419,121.222778,Fernando D. Anore-0936-766-2575
Subay Day Care Center Subay Barangay Hall,Barangay Subay-ISLAND BARANGAY,0,50,66,,1 bathroom each,"7km to PNP 7 km  to Municipal Building,6.km to Hospital",,,14.403917,121.228944,
