Name,Location,Capacity,Capacity in family,Floor area,Type,Features,Proximity,Source of water,Remarks,Lat,Lng,Contact person and number
"Manggahan Covered Court","Brgy. Manggahan",300,0,0,"","","","","undefined",0,0,""
"Manggahan Elementary School","Brgy. Manggahan",150,0,0,"","","","","undefined",0,0,""
"Barangay Hall","Brgy. Manggahan",50,0,0,"","","","","undefined",0,0,""
"Church","Brgy. Manggahan",50,0,0,"","","","","undefined",0,0,""
"San Isidro Covered Court","Brrgy. San Isidro",300,0,0,"","","","","undefined",0,0,""
"San Isidro Elem. School","Brrgy. San Isidro",150,0,0,"","","","","undefined",0,0,""
"South Ville 8B Elem. School","Brrgy. San Isidro",150,0,0,"","","","","undefined",0,0,""
"Double L Multi-Purpose Hall","Brrgy. San Isidro",50,0,0,"","","","","undefined",0,0,""
"Villa San Isidro Multi-Purpose Hall","Brrgy. San Isidro",50,0,0,"","","","","undefined",0,0,""
"ERES Elementary School","Brgy. Rosario",150,0,0,"","","","","undefined",0,0,""
"Municipal Gymnasium","Brgy. Rosario",300,0,0,"","","","","undefined",0,0,""
"San Jose Proper Elementary School","Brgy. San Jose",200,0,0,"","","","","undefined",0,0,""
"San Jose Covered Court","Brgy. San Jose",300,0,0,"","","","","undefined",0,0,""
"San Jose Oval/For Earthquake","Brgy. San Jose",1500,0,0,"","","","","undefined",0,0,""
"San Jose National High School","Brgy. San Jose",200,0,0,"","","","","undefined",0,0,""
"San Jose Chapel","Brgy. San Jose",50,0,0,"","","","","undefined",0,0,""
"Amity Ville Covered Court","Brgy. San Jose",300,0,0,"","","","","undefined",0,0,""
"Montalban Heights National High School","Brgy. San Jose",200,0,0,"","","","","undefined",0,0,""
"Rodriguez Heights Elementary School","Brgy. San Jose",150,0,0,"","","","","undefined",0,0,""
"Amity Ville Elementary School","Brgy. San Jose",150,0,0,"","","","","undefined",0,0,""
"URS","Brgy. San Jose",300,0,0,"","","","","undefined",0,0,""
"Kasiglahan Village Multi-Purpose Hall","Brgy. San Jose",100,0,0,"","","","","undefined",0,0,""
"Munting Ilaw Health Center","Brgy. San Jose",200,0,0,"","","","","undefined",0,0,""
"Kasiglahan Elementary School","Brgy. San Jose",150,0,0,"","","","","undefined",0,0,""
"Sub Urban Covered Court","Brgy. San Jose",300,0,0,"","","","","undefined",0,0,""
"Sub Urban Multi-Purpose Hall","Brgy. San Jose",150,0,0,"","","","","undefined",0,0,""
"Colegio de Montalban","Brgy. San Jose",200,0,0,"","","","","undefined",0,0,""
"Macabud Elementary School","Brgy. Macabud",150,0,0,"","","","","undefined",0,0,""
"Macabud National High School","Brgy. Macabud",150,0,0,"","","","","undefined",0,0,""
"Brgy. Covered Court (Silangan Village)","Brgy. Geronimo",300,0,0,"","","","","undefined",0,0,""
"Geronimo Elementary School","Brgy. Geronimo",150,0,0,"","","","","undefined",0,0,""
"Gen. Licerio Geronimo National High School","Brgy. Geronimo",150,0,0,"","","","","undefined",0,0,""
"Aranzazu Covered Court","Brgy. Burgos",300,0,0,"","","","","undefined",0,0,""
"Burgos Elementary School","Brgy. Burgos",150,0,0,"","","","","undefined",0,0,""
"San Jose Elementary Schoo","Brgy. Burgos",200,0,0,"","","","","undefined",0,0,""
"San Jose National High School","Brgy. Burgos",200,0,0,"","","","","undefined",0,0,""
"Barangay Hall","Brgy. Balite",50,0,0,"","","","","undefined",0,0,""
"ERES Elementary School","Brgy. Balite",150,0,0,"","","","","undefined",0,0,""
"Municipal Gymnasium","Brgy. Balite",300,0,0,"","","","","undefined",0,0,""
"Wawa High School","Brgy. San Rafael",150,0,0,"","","","","undefined",0,0,""
"San Rafael Elementary School","Brgy. San Rafael",150,0,0,"","","","","undefined",0,0,""
"Diliman Covered Court","Brgy. San Rafael",300,0,0,"","","","","undefined",0,0,""
"Catmon Elementary School","Brgy. San Rafael",150,0,0,"","","","","undefined",0,0,""
"Macaingalan Elementary School","Brgy. Puray",150,0,0,"","","","","undefined",0,0,""
"Macaingalan National High School","Brgy. Puray",150,0,0,"","","","","undefined",0,0,""
"Puray Elementary School","Brgy. Puray",150,0,0,"","","","","undefined",0,0,""
"Puray National High School (Anex) Puray","Brgy. Puray",50,0,0,"","","","","undefined",0,0,""
"Puray Covered Court","Brgy. Puray",300,0,0,"","","","","undefined",0,0,""
"Barangay Hall","Brgy. Masacap",50,0,0,"","","","","undefined",0,0,""
"Mascap Covered Court","Brgy. Masacap",300,0,0,"","","","","undefined",0,0,""
"Mascap Elementary School","Brgy. Masacap",150,0,0,"","","","","undefined",0,0,""
"Mascap National High School","Brgy. Masacap",150,0,0,"","","","","undefined",0,0,""
"Magalipit Elementary School (Anex)","Brgy. Masacap",50,0,0,"","","","","undefined",0,0,""
"Forest Lawn-For Earthquake","Brgy. San Jose",500,0,0,"","","","","undefined",0,0,""
"Permanent Evacuation Center,Amity Ville, Mayon Avenue","Brgy. San Jose",100,0,0,"","","","","undefined",0,0,""
