name,location,capacity,capacity_in_family,floor_area,type,features,proximity,source_of_water,remarks,lat,lng,contact_person_and_number
Multi Purpose Covered Court Center, Abuyod Elementary School,,50,  21m x 14.8m,,"3 female,2male comfort rooms",,potable and non-potable,,,,Designated Permamnent Evacuation Area
Multi Purpose Covered Court Center, Abuyod NHS,,50,  21m x 14.8m,,"1 female,1 male comfort rooms",,non-potable,,,,Designated Permamnent Evacuation Area
May-Iba Coverted court,Brgy. May-Iba,,100,17mx30m,,"1 female,1 male comfort rooms",,potable,,,,Designated Permamnent Evacuation Area
QSJES Covered court,Brgy. May-Iba,,50,  21m x 14.8m,,"1 female,1 male comfort rooms",,non-potable,,,,Designated Permamnent Evacuation Area
Dulumbayan Covered court,Brgy. Dulumbayan,,100,17mx30m,,"1 female,1 male comfort rooms",,potable,,,,Designated Permamnent Evacuation Area
Teresa Municipal Covered court,Brgy. Poblacion,,100,17mx30m,,"1 female,1 male comfort rooms",,potable,,,,Designated Permamnent Evacuation Area
San Gabriel Covered court,Brggy. San Gabriel,,100,17mx30m,,"1 female,1 male comfort rooms",,potable and non-potable,,,,Designated Permamnent Evacuation Area
San Roque Covered court,Brgy. San Roque,,100,17mx30m,,"1 female,1 male comfort rooms",,potable and non-potable,,,,Designated Permamnent Evacuation Area
Bagumbayan Covered court,Bagumbayan,,100,17mx30m,,"1 female,1 male comfort rooms",,potable,,,,Designated Permamnent Evacuation Area
Multi Purpose Covered Court ,Bagumbayan,,50,  21m x 14.8m,,"2 female,2 male comfort rooms",,potable,,,,Designated Permamnent Evacuation Area
Multi Purpose Covered Court ,Prnza Elementary School,,50,  21m x 14.8m,,"2 female,2 male comfort rooms",,potable,,,,Designated Permamnent Evacuation Area
Prinza Covered court,Brgt. Prinza,,100,17mx30m,,"1 female,1 male comfort rooms",,potable,,,,Designated Permamnent Evacuation Area
Multi Purpose Covered Court ,Pantay Elementary School,,50,  21m x 14.8m,,"2 female,2 male comfort rooms",,potable,,,,Designated Permamnent Evacuation Area
